timestamp_ms,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
1909,-812.50,215.33,-554.20,17.56,1.40,8.51,33.49
1931,-828.61,209.96,-544.43,17.76,-1.84,4.24,33.35
1953,-816.41,205.57,-534.18,19.36,1.63,2.50,33.44
1975,-801.76,198.24,-538.57,16.44,3.11,3.18,33.25
1997,-785.16,218.26,-554.69,14.62,2.58,-1.24,33.49
2019,-805.66,203.12,-535.64,12.81,4.04,-0.50,33.35
2041,-805.66,181.64,-541.02,13.42,1.83,-0.85,33.49
2063,-808.59,178.22,-553.71,10.44,5.41,-1.96,33.44
2085,-800.78,168.95,-536.62,11.46,3.66,-3.66,33.49
2107,-804.69,185.55,-538.09,13.22,2.13,-1.15,33.49
2129,-801.76,177.25,-538.57,13.82,2.40,-3.60,33.35
2151,-799.80,170.90,-545.41,16.40,0.74,3.53,33.44
2173,-800.29,162.11,-541.99,13.00,3.24,-2.80,33.30
2195,-806.15,161.62,-536.13,16.07,1.24,1.70,33.30
2217,-798.83,145.02,-535.16,17.34,-1.76,7.10,33.35
2239,-788.09,153.81,-552.73,16.85,1.63,3.50,33.35
2261,-785.64,154.30,-541.50,14.05,1.83,6.33,33.35
2283,-796.87,155.27,-534.67,13.35,2.21,1.24,33.35
2305,-779.79,131.35,-539.06,7.53,1.31,0.92,33.59
2327,-806.15,117.19,-536.62,8.15,1.76,0.08,33.49
2349,-795.90,128.91,-541.50,5.28,6.60,4.48,33.59
2371,-797.36,143.07,-542.97,4.18,4.41,-2.49,33.88
2393,-787.11,142.58,-545.90,2.81,5.82,-0.46,33.64
2415,-798.83,134.77,-560.06,4.43,3.33,1.73,33.44
2437,-793.95,138.67,-555.66,5.24,3.60,6.08,33.44
2459,-786.62,145.02,-553.22,5.94,2.82,9.85,33.49
2481,-794.43,160.16,-566.89,8.08,2.10,6.25,33.44
2503,-794.92,152.83,-563.96,6.25,4.34,5.05,33.44
2525,-781.25,146.00,-563.96,4.86,1.68,2.91,33.30
2547,-796.39,142.58,-586.91,5.42,2.76,8.45,33.35
2569,-800.29,126.95,-567.38,3.24,3.31,5.14,33.49
2591,-787.60,132.32,-567.38,3.43,2.31,3.85,33.35
2613,-784.18,161.13,-565.43,3.27,1.32,6.00,33.83
2635,-782.71,137.70,-579.10,2.01,2.08,7.72,33.35
2657,-792.48,147.46,-575.20,1.82,2.63,3.77,33.49
2679,-786.62,138.67,-575.20,0.45,3.77,4.09,33.35
2701,-781.25,143.07,-577.15,-1.11,0.70,5.01,33.64
2723,-772.95,133.30,-590.33,-0.49,0.03,0.56,33.35
2745,-787.60,151.37,-578.61,-1.20,1.27,6.05,33.59
2767,-786.13,166.99,-572.27,-0.04,3.00,4.71,33.64
2789,-772.95,146.00,-577.64,1.77,-0.13,3.51,33.35
2811,-786.13,152.34,-588.87,-2.75,4.06,6.16,33.35
2833,-780.76,168.95,-583.01,0.89,1.80,5.63,33.11
2855,-781.25,150.39,-583.01,-1.52,2.31,3.60,33.49
2877,-768.55,157.71,-580.08,-0.04,3.19,7.16,33.59
2899,-756.84,164.06,-588.87,2.03,3.79,7.52,33.44
2921,-765.62,151.86,-580.08,0.56,2.63,6.94,33.59
2943,-772.46,156.74,-602.05,-1.05,3.40,2.37,33.64
2965,-754.88,155.27,-589.36,1.76,-0.06,5.12,33.64
2987,-766.60,156.25,-596.19,-1.44,4.14,3.74,33.64
3009,-767.09,173.34,-584.47,-0.04,1.91,5.21,33.49
3031,-774.90,153.81,-591.31,-0.12,3.92,5.15,33.59
3053,-759.28,173.34,-599.61,-0.94,2.98,8.36,33.35
3075,-757.32,170.90,-599.61,1.16,5.71,11.92,33.59
3097,-771.00,180.66,-590.82,1.13,0.60,9.09,33.44
3119,-756.84,166.99,-597.66,-1.69,4.00,7.29,33.35
3141,-758.79,185.55,-607.91,-0.50,5.12,8.47,33.30
3163,-766.60,172.85,-601.07,2.55,1.66,11.47,33.68
3185,-749.02,186.52,-603.52,-1.85,1.92,9.43,33.64
3207,-760.25,201.17,-638.67,-1.15,5.52,6.09,33.59
3229,-778.32,171.87,-608.89,-5.58,6.04,5.86,33.64
3251,-762.70,195.31,-615.23,-2.96,4.18,6.59,33.35
3273,-772.95,198.73,-595.21,-0.71,4.74,8.49,33.44
3295,-784.67,183.59,-609.37,2.57,3.37,10.88,33.68
3317,-762.21,194.82,-604.98,4.38,-2.89,8.50,33.68
3339,-791.02,196.29,-596.68,2.37,-2.82,6.73,33.35
3361,-781.74,205.08,-595.70,3.27,-2.96,6.54,33.64
3383,-786.62,192.87,-590.82,4.21,0.00,8.06,33.59
3405,-780.27,203.61,-601.07,-0.53,4.34,1.06,33.44
3427,-778.32,209.96,-615.23,-1.60,2.53,-0.96,33.25
