timestamp_ms,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
9317,-778.81,355.96,698.73,-43.92,5.73,42.92,32.10
9339,-801.76,370.61,708.98,-39.66,-1.24,27.70,32.20
9361,-790.53,345.70,697.75,-34.43,1.77,10.57,32.25
9383,-829.59,336.91,685.55,-22.45,-6.66,-21.55,32.10
9405,-824.22,315.43,676.76,-21.38,-22.95,-32.30,32.10
9427,-789.55,333.01,736.33,-23.37,-36.86,-46.82,31.91
9449,-697.75,250.00,752.44,-20.59,-37.40,-70.40,32.25
9471,-699.71,242.68,819.82,-20.74,-40.35,-67.21,32.10
9493,-659.67,184.57,850.59,-19.93,-38.79,-67.35,32.06
9515,-625.49,96.19,810.55,-14.92,-38.82,-66.92,32.10
9537,-572.27,8.79,814.45,-1.15,-42.53,-62.03,32.25
9559,-456.05,-69.34,855.96,8.52,-42.59,-52.67,32.39
9581,-513.18,4.88,930.66,5.07,-37.74,-40.46,32.25
9603,-531.74,1.46,948.73,6.68,-24.02,-40.30,32.20
9625,-555.18,-32.23,924.32,17.00,-16.34,-47.60,32.25
9647,-522.95,-83.98,870.12,25.11,-20.25,-37.63,32.20
9669,-452.64,-94.73,875.00,21.25,-27.15,-30.52,32.25
9691,-500.00,-41.02,864.26,16.72,-29.76,-21.81,32.10
9713,-462.89,-29.79,881.84,25.93,-21.65,-14.92,31.91
9735,-428.22,-62.50,820.31,23.32,-11.48,-7.86,31.86
9757,-452.15,-55.66,764.65,12.34,-15.41,-1.88,32.10
9779,-385.25,-72.27,784.67,7.50,-3.79,2.13,32.10
9801,-401.37,-71.78,757.32,24.16,12.44,-4.57,32.44
9823,-389.16,-88.38,732.91,40.34,28.73,-11.74,32.39
9845,-459.96,-21.00,705.57,48.96,42.31,-11.27,32.10
9867,-500.98,9.28,734.86,59.38,42.65,-9.89,32.39
9889,-582.52,105.96,760.74,79.08,46.72,-5.95,32.25
9911,-537.60,215.33,874.51,69.27,46.23,-12.21,32.10
9933,-676.76,232.91,833.01,54.14,50.39,-5.38,32.10
9955,-725.10,248.54,797.85,34.85,39.13,-6.47,32.10
9977,-697.27,201.17,762.70,11.80,24.56,-0.62,32.25
9999,-697.75,179.20,747.07,7.66,11.91,1.47,32.29
10021,-721.68,187.01,749.02,8.02,3.73,-0.08,32.10
10043,-734.86,179.20,728.52,8.62,-0.82,-7.93,32.25
10065,-698.24,178.71,758.30,10.40,1.37,-11.60,32.10
10087,-689.45,207.52,749.02,5.59,-3.18,-10.83,32.10
10109,-678.22,183.11,744.14,2.06,-3.85,-7.53,32.25
10131,-689.45,221.68,786.13,6.63,-5.97,-5.52,32.25
10153,-690.43,203.61,784.18,-0.22,-8.50,-8.54,32.39
10175,-644.53,188.48,792.48,-7.98,-13.34,-7.03,32.20
10197,-650.88,199.71,806.15,-8.91,-15.09,-4.36,32.29
10219,-631.35,203.12,835.94,-10.23,-17.35,-3.72,32.29
10241,-632.81,228.52,875.98,-7.82,-15.56,-5.11,32.20
10263,-645.51,185.06,883.30,-9.37,-16.08,-6.55,32.10
10285,-642.09,165.53,842.29,-15.63,-20.50,-5.78,32.25
10307,-630.37,161.13,846.19,-17.80,-25.19,-6.39,32.10
10329,-624.51,150.88,860.84,-11.88,-22.69,-10.90,32.29
10351,-646.48,136.23,852.54,-9.47,-22.50,-12.59,32.20
10373,-640.14,119.63,819.34,-10.79,-28.84,-12.88,32.01
10395,-627.93,126.46,808.59,-10.77,-36.40,-7.34,32.25
10417,-582.52,116.70,822.27,-13.83,-36.27,-4.82,32.29
10439,-583.50,118.16,811.04,-9.01,-32.73,-8.27,32.20
10461,-557.62,136.72,791.99,-12.21,-42.05,-7.44,32.20
10483,-526.37,127.44,823.73,-14.92,-44.65,1.40,32.29
10505,-444.82,115.23,863.77,-18.60,-43.02,6.46,32.25
10527,-389.65,69.34,882.81,-17.05,-30.53,6.07,32.39
10549,-421.39,64.94,877.93,-17.66,-23.51,5.76,32.39
10571,-420.90,66.41,883.30,-20.22,-18.44,4.37,32.20
10593,-408.69,41.50,886.23,-15.38,-11.76,3.02,32.25
10615,-401.86,22.95,883.30,-11.51,-8.56,2.06,32.25
10637,-431.15,39.06,885.25,-10.22,0.27,1.72,32.25
10659,-433.59,74.22,925.29,-7.60,2.60,0.10,32.25
10681,-455.08,52.73,910.16,-6.43,10.58,-6.74,32.25
10703,-481.93,56.15,875.49,-6.34,13.73,-1.60,32.25
10725,-507.32,43.46,849.12,-2.30,14.04,-0.71,32.39
10747,-520.02,64.94,841.80,-15.12,3.82,-0.16,32.25
10769,-483.89,38.57,839.36,-11.00,12.87,-0.60,32.10
10791,-487.79,46.88,839.36,-3.31,16.31,0.47,32.29
10813,-475.59,32.23,828.61,-6.20,14.48,5.03,32.29
10835,-453.12,57.13,870.12,-7.09,23.66,6.59,32.25
10857,-421.87,38.57,853.52,-12.89,34.96,17.10,32.10
10879,-1306.15,-374.51,1059.08,66.41,-9.60,-136.59,32.29
10901,-185.06,270.51,786.62,6.82,56.88,-5.91,32.39
10923,-722.66,-7.81,825.20,-15.21,53.04,-38.24,32.25
10945,-523.44,51.76,774.41,-41.27,70.96,-0.08,32.20
10967,-685.06,-48.83,781.74,-78.75,75.85,-3.38,32.25
10989,-588.38,21.48,739.75,-86.51,70.31,29.80,32.01
11011,-665.53,34.18,818.36,-64.54,73.95,28.07,31.91
11033,-616.70,-135.74,728.03,-72.41,48.42,59.79,32.25
11055,-757.81,-120.12,771.48,-58.19,76.44,11.23,32.39
11077,-641.11,-81.54,689.94,-81.10,63.70,47.26,32.44
11099,-824.22,-57.13,697.27,-45.76,69.24,51.18,32.06
11121,-869.14,54.69,831.54,-76.15,38.95,64.73,32.29
11143,-847.66,-57.62,695.80,-59.60,-6.56,-40.72,32.20
11165,-911.62,-115.72,569.82,-62.96,3.70,-85.18,32.10
11187,-757.81,-301.27,756.84,-79.28,-52.95,-18.80,32.01
11209,-696.78,-214.36,741.70,-105.89,-76.50,-1.25,32.58
11231,-667.97,-197.27,741.70,-85.90,-44.57,-23.10,32.20
11253,-672.36,-265.14,713.38,-53.75,11.54,-43.56,32.25
11275,-790.04,-278.32,571.78,-25.38,44.64,-26.05,32.25
11297,-853.52,-373.54,646.97,-34.65,121.96,21.91,32.06
11319,-716.31,-167.97,337.89,-102.21,29.66,-55.50,32.01
11341,-876.95,-114.75,707.52,-76.84,-40.50,-48.39,32.01
11363,-688.48,-332.03,633.79,-11.10,-42.16,-24.12,32.25
11385,-715.82,-427.73,711.91,13.37,10.78,-53.98,32.53
11407,-720.70,-401.37,619.14,16.79,20.81,-29.05,32.25
11429,-846.19,-290.04,690.43,16.85,-1.56,-0.47,32.39
11451,-862.30,-292.97,674.32,-15.64,-44.82,39.53,32.44
11473,-846.19,-274.90,672.85,-32.79,-81.18,78.56,32.29
11495,-662.60,-412.60,532.71,-88.47,-75.67,13.92,32.25
11517,-816.41,-510.74,449.71,-48.79,-71.60,61.21,32.39
11539,-442.87,-555.66,606.93,-27.99,-50.39,18.32,32.25
11561,-698.73,-335.45,632.81,-42.05,-53.75,-2.07,32.39
11583,-706.54,-246.58,737.30,-24.92,-46.98,-18.35,32.39
11605,-610.35,-250.00,782.23,-51.92,-29.31,-34.65,32.25
11627,-511.23,-373.54,709.96,-48.68,-44.00,8.25,32.25
11649,-589.36,-413.57,708.50,-60.66,-20.59,-15.50,32.10
11671,-616.70,-389.65,649.41,-50.42,-41.00,-24.76,32.25
